FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,0,0,0,0,518.71978687000,518.83475167000,0,Strickhofstrasse,0,9.38213163105,9864
0,0,0,0,0,507.46794500000,505.94997500000,0,Engadinerweg,0,146.00900707400,9865
1,0,0,0,0,594.33712800000,591.44387160000,0,Parkplatz Masoalahalle,0,53.69157229390,9866
0,0,0,0,0,428.09187562000,427.97106963000,0,Gdiggelmannstrasse / Untermoosstrasse 5,0,5.11368393137,9867
1,0,0,0,0,510.86207000000,509.44993500000,0,Benedikt-Fontana-Weg,0,59.38813699600,9868
0,0,0,0,0,448.26260431000,447.96873550000,0,Zelgwiesenstrasse,1,12.02574389920,9869
1,0,0,0,0,407.19727937000,407.45449083000,0,Schienengasse,0,31.80331718020,9870
0,0,0,0,0,458.87754000000,458.67907750000,0,Rellstabweg,1,3.87345244504,9871
1,0,0,0,0,554.69084250000,563.93667510000,0,Oberer Heuelsteig,0,131.04768743600,9872
0,0,0,0,0,446.00915000000,447.48304800000,0,Alte MÃ¼hlackerstrasse,0,46.07516281920,9873
0,0,0,0,0,473.54595900000,479.61560367000,0,Hegibachstrasse,0,58.96050322070,9874
1,0,0,0,0,442.97016750000,437.70836667000,0,Reckenholzstrasse,1,158.87236216700,9875
1,0,0,0,0,422.07213000000,428.81080500000,0,RÃ¶schibachsteig,0,57.70009705600,9876
0,0,0,0,0,445.78104139000,451.99881250000,0,Goldackerweg,0,67.51653208400,9877
0,0,0,0,0,441.76696500000,444.91127000000,0,GrÃ¼nhaldenstrasse,1,63.80007088450,9878
0,0,0,0,0,457.14051948000,462.66762750000,0,Carmenstrasse,0,176.09614488100,9879
0,0,0,0,0,524.07127554000,532.26408343000,0,Hinterbergstrasse,1,74.89917493430,9880
0,0,0,0,0,407.48730750000,407.84248475000,0,Werkgasse,0,7.62918494086,9881
0,0,0,0,0,514.49978250000,514.39871525000,0,Raintobelweg,0,3.61829680280,9882
1,FT,0,0,1,469.78882300000,469.89703000000,0,Probusweg,0,3.26263141615,9883
0,0,0,0,0,407.54102071000,407.42236800000,0,EichbÃ¼hlstrasse,0,94.28268415210,9884
1,0,0,0,0,500.37082925000,501.39625058000,0,Segantiniweg / Richtung Wildenweg 20,0,64.69012769800,9885
0,FT,0,0,1,419.07561571000,424.46264607000,0,Zweierstrasse,3,48.00370471310,9886
0,0,0,0,0,411.88819400000,411.86891333000,0,Hildastrasse,0,86.06554074680,9887
1,0,0,0,0,494.60494247000,501.36349400000,0,Familiengartenareal Althoos 10,0,76.31287361630,9888
0,0,0,0,0,435.76029200000,438.11372545000,0,Birchstrasse,0,115.05956059200,9889
1,0,0,0,0,430.05724000000,430.84404792000,0,Algierstrasse,1,15.29740054670,9890
0,0,0,0,0,434.42213000000,436.39062720000,0,Riedenholzstrasse,1,107.25590195000,9891
0,0,0,0,0,444.48861200000,440.25722269000,0,Friedackerstrasse,0,54.68193721750,9892
