FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,0,0,0,0,406.08742106000,405.81188456000,BOTH,Platzpromenade 390,2,41.62231878680,1
1,0,0,0,0,435.60553500000,431.75877500000,BOTH,Andreasstrasse,1,114.58800171900,2
1,0,0,0,0,406.50272650000,406.07341500000,BOTH,Mattensteg,1,58.90499067240,3
1,FT,0,0,1,413.19778532000,413.21666881000,FT,Selnaustrasse Trottoir rechts,0,9.83246203200,4
1,0,0,0,0,409.06638788000,409.09189872000,BOTH,Mythen-Quai 65,1,15.44584539530,5
0,FT,0,0,1,398.04801700000,397.89975800000,FT,EuropabrÃ¼cke Trottoir rechts,1,19.27200312910,6
1,TF,0,1,0,399.26040039000,397.90204480000,TF,EuropabrÃ¼cke Trottoir links,1,74.42399783060,7
1,0,0,0,0,408.81498089000,406.75777100000,BOTH,Stadthausquai Trottoir rechts,0,63.14592993160,8
1,0,0,0,0,408.68765741000,408.57437260000,BOTH,Mythen-Quai 30,1,98.13099448920,9
1,0,0,0,0,408.41203500000,408.29979110000,FT,Alfred-Escher-Strasse Trottoir rechts,0,146.50393637000,10
0,0,0,0,0,403.48456125000,403.55476355000,BOTH,Zahnradstrasse,0,22.14508866520,11
1,0,0,0,0,408.32990833000,408.64802400000,BOTH,Usteristrasse Trottoir rechts,0,13.54303566820,12
0,TF,0,1,0,408.37016071000,408.39084100000,BOTH,Mythenquai Trottoir links,0,19.70038997340,13
1,TF,0,1,0,407.32500975000,407.31270112000,TF,Badenerstrasse Trottoir links,0,4.62868397975,14
1,0,0,0,0,413.64032900000,413.93040300000,FT,Manessestrasse Trottoir links,0,46.96376339450,15
1,0,0,0,0,443.21880700000,442.15784119000,BOTH,Kornamtsweg,1,175.03148057000,16
1,0,0,0,0,400.75726067000,400.47854725000,BOTH,Tram Hardhof / Bernerstrasse 10,1,36.92354641040,17
1,FT,0,0,1,426.79564517000,427.38204916000,FT,Thurgauerstrasse Trottoir rechts,0,46.22838289500,18
1,0,0,0,0,444.24672807000,444.25945267000,BOTH,Wehntalerstrasse Trottoir rechts,0,8.31557662389,19
1,0,0,0,0,398.38012162000,397.96683500000,BOTH,Meierwiesenstrasse Trottoir links,1,8.39401691072,20
0,0,0,0,0,428.33852659000,427.90497109000,BOTH,Andreasstrasse,1,14.72387988270,21
1,FT,0,0,1,430.46379000000,437.80222539000,FT,Kornhausstrasse Trottoir rechts,0,135.41827928500,22
1,0,0,0,0,434.75287075000,435.14729600000,BOTH,Am Katzenbach 130,1,512.57766019200,23
1,0,0,0,0,413.06209800000,419.51568350000,BOTH,Tunnelstrasse 15,1,274.52735532500,24
1,0,0,0,0,406.20577181000,407.09667625000,BOTH,Platzpromenade 30,2,27.58289547990,25
0,TF,0,1,0,454.55939443000,454.33610300000,TF,Wehntalerstrasse Trottoir links,0,15.65000803440,26
1,0,0,0,0,444.49514277000,444.30447629000,BOTH,Wehntalerstrasse Trottoir rechts,0,7.71905530092,27
0,TF,0,1,0,433.96616945000,433.79933690000,TF,Saatlenstrasse Trottoir links,0,5.35288150226,28
1,0,0,0,0,408.01261420000,409.14942233000,BOTH,Sihlstrasse Trottoir rechts,1,15.53507598720,29
0,TF,0,1,0,434.77962590000,434.82252140000,TF,Saatlenstrasse Trottoir links,0,7.70772441409,30
1,FT,0,0,1,427.18404582000,426.51613038000,FT,Thurgauerstrasse Trottoir rechts,0,145.59821025500,31
1,0,0,0,0,407.56045050000,407.04825160000,BOTH,Platzpromenade 447,2,16.99436192450,32
1,0,0,0,0,517.84346900000,515.90092750000,BOTH,Schafmattstrasse Trottoir rechts,0,27.35672324850,33
1,FT,0,0,1,451.54106235000,451.73638600000,FT,Freiestrasse Trottoir rechts,0,25.08751633620,34
0,0,0,0,0,410.39579337000,410.50104071000,BOTH,Gessnerallee Ãœberquerung 15,1,6.20673643995,35
0,0,0,0,0,428.11551017000,428.33852659000,BOTH,Andreasstrasse,1,14.52898015020,36
1,0,0,0,0,402.23779250000,399.68681308000,BOTH,Parkplatz Hardhof 15,0,40.67253748210,37
0,0,FT,0,0,452.63261250000,455.38984000000,FT,RÃ¶telstrasse,1,40.49415943530,38
1,0,0,0,0,518.83705100000,518.59504592000,BOTH,Schafmattstrasse Trottoir rechts,0,60.91043116170,39
1,0,0,0,0,427.15153177000,427.14874875000,BOTH,Am Katzenbach 5,1,153.64435820500,40
1,0,0,0,0,419.49136180000,420.80074455000,BOTH,Lessingstrasse,1,215.47689498400,41
1,0,0,0,0,440.71800500000,440.76994381000,BOTH,BÃ¤renbohlstrasse Ãœberquerung 20,0,6.36469458002,42
1,0,0,0,0,524.27374921000,527.77308757000,BOTH,Regensdorferstrasse 10,2,245.11873999800,43
0,FT,0,0,1,434.64410786000,434.63765891000,FT,Freiestrasse Trottoir rechts,0,15.87234580030,44
0,FT,0,0,1,428.56155750000,428.55873862000,FT,Thurgauerstrasse Trottoir rechts,0,20.96781286560,45
0,TF,0,1,0,406.05092375000,405.98379397000,TF,Hohlstrasse / DuttweilerbrÃ¼cke,0,21.28593801220,46
0,FT,0,0,1,406.73024000000,406.60325600000,TF,Radgasse,1,34.71873935160,47
1,0,0,0,0,410.71196724000,411.12237725000,BOTH,Park Letzigraben / Badenerstrasse / Brahmstrasse 190,0,48.21181137520,48
1,0,0,0,0,406.68640176000,407.03909732000,BOTH,Hardstrasse / HardbrÃ¼cke 20,0,157.91287750300,49
1,0,0,0,0,487.58797180000,488.40201312000,BOTH,Winterthurerstrasse 20,2,39.73344162280,50
1,0,0,0,0,453.00474425000,454.57835650000,BOTH,Hauriweg,0,135.49709996000,51
1,0,0,0,0,408.58505620000,409.25464612000,BOTH,ZÃ¼richhorn 280,1,26.97971514140,52
1,TF,0,1,0,407.94520614000,407.82520958000,TF,Badenerstrasse Trottoir links,0,5.01929892721,53
1,TF,0,1,0,407.77067044000,407.88145817000,TF,Badenerstrasse Trottoir links,0,44.73373431190,54
1,0,0,0,0,443.10014207000,443.02628770000,BOTH,Wehntalerstrasse Trottoir rechts,0,9.70364878976,55
0,0,0,0,0,408.31301125000,408.45699333000,BOTH,Beatenplatz,1,50.91149808140,56
1,FT,0,0,1,413.90172670000,413.89708685000,FT,Schlossgasse Ãœberquerung 20,0,11.83168518280,57
1,0,0,0,0,407.81935733000,407.77910888000,BOTH,General-Guisan-Quai Trottoir links,1,117.06247891500,58
1,FT,0,0,1,583.69868935000,585.46475925000,FT,Birmensdorferstrasse Trottoir rechts,0,118.80259421100,59
1,FT,0,0,1,407.64274244000,407.71770600000,FT,Badenerstrasse Trottoir rechts,0,15.90033553030,60
1,0,0,0,0,450.60907300000,458.75240333000,BOTH,Frankentalerstrasse Trottoir links,1,97.12146459590,61
1,0,0,0,0,397.95921250000,397.39792485000,BOTH,Fischerweg,2,123.68733166800,62
1,0,0,0,0,396.36437950000,398.96594925000,BOTH,Werdinsel-BrÃ¼cke 30,1,113.88155071900,63
1,0,0,0,0,398.57318617000,398.64211321000,BOTH,Bernerstrasse Nord Trottoir rechts,1,26.13011969330,64
1,0,0,0,0,438.86007788000,448.37937500000,BOTH,BÃ¼siseeweg 30,1,341.50219421500,65
1,FT,0,0,1,413.05497048000,413.03695893000,FT,Weststrasse Ãœberquerung 70,0,5.83152027189,66
0,TF,0,1,0,395.41553372000,395.57044100000,TF,Bernerstrasse Trottoir links,0,6.96094580095,67
0,0,0,0,0,401.85243017000,402.44787868000,BOTH,Technoparkstrasse,1,19.90058067980,68
1,0,0,0,0,403.77222707000,403.80095212000,BOTH,Viaduktstrasse,1,93.78500014560,69
1,FT,0,0,1,423.10319890000,424.58146225000,FT,Rousseaustrasse Trottoir rechts,0,35.20253247490,70
1,FT,0,0,1,407.16352970000,407.42585068000,FT,Herdernstrasse Trottoir links,0,32.93961461210,71
1,0,0,0,0,408.40671273000,408.10374183000,BOTH,Tram Gessnerallee Trottoir rechts,0,66.55980433160,72
1,0,0,0,0,411.55959150000,412.12603800000,BOTH,Sihlpromenade 20,1,51.03159986230,73
1,FT,0,0,1,432.54161269000,432.65208844000,FT,Freiestrasse Trottoir rechts,0,8.52269825278,74
1,0,0,0,0,417.71695900000,417.96697462000,BOTH,Sihlpromenade 70,2,228.34155689200,75
0,0,0,0,0,470.02688539000,469.05160000000,BOTH,Hesenlooweg,0,21.32890446610,76
1,0,0,0,0,470.21722704000,469.64931400000,BOTH,Gemeinschaftszentrum Buchegg 40,0,41.64366135500,77
0,0,0,0,0,455.99164929000,455.85386283000,BOTH,Bachmannweg 5,1,13.41980402900,78
1,TF,0,1,0,408.81498089000,408.40404400000,TF,QuaibrÃ¼cke Trottoir links,0,169.91192033700,79
0,FT,0,0,1,408.94510648000,408.91327502000,FT,Mythenquai Trottoir rechts,0,99.53817396550,80
1,0,0,0,0,407.43146015000,407.75134454000,BOTH,Mythenquai Trottoir links,1,92.13958508660,81
1,0,0,0,0,399.19292700000,396.01096275000,BOTH,Fischerweg,2,602.72264448900,82
1,0,0,0,0,402.63695250000,402.47746500000,BOTH,AmpÃ¨resteg,1,83.63145431870,83
1,0,0,0,0,438.06786450000,447.28964100000,BOTH,BÃ¤renbohlstrasse 10,1,367.17531960000,84
1,FT,0,0,1,422.04252042000,422.05894530000,FT,Bahnhof Brunau Trottoir links,1,26.82073071950,85
1,0,0,0,0,407.68721646000,408.04760667000,BOTH,Rentenwiese,1,73.52342156230,86
0,0,0,0,0,408.49217643000,408.45699333000,BOTH,Beatenplatz,1,6.03765626702,87
0,0,0,0,0,407.63268430000,407.72003389000,FT,Bellerivestrasse,1,56.02529682510,88
1,0,0,0,0,437.97185667000,437.57074250000,BOTH,BÃ¼siseeweg,1,321.73402297200,89
0,0,0,0,0,408.10374183000,407.96846879000,BOTH,Tram Gessnerallee Trottoir rechts,0,7.96826425587,90
0,TF,0,1,0,429.00275875000,429.18881443000,TF,Nordstrasse / Laurenzgasse  10,0,5.84032785657,91
1,0,0,0,0,408.01191100000,407.69989883000,BOTH,General-Guisan-Quai Trottoir links,1,83.55704878970,92
1,0,0,0,0,425.93750075000,425.99481620000,BOTH,Ueberlandstrasse Ãœberquerung 110,1,13.63446439270,93
0,FT,0,0,1,472.08470533000,471.85882452000,FT,Bucheggstrasse Trottoir links,0,10.95796338560,94
0,0,0,0,0,574.22259250000,581.82582563000,TF,Birmensdorferstrasse,3,149.30394402000,95
1,FT,0,0,1,439.86596986000,439.89104793000,FT,Kornhausstrasse Trottoir rechts,0,6.68798512423,96
1,0,0,0,0,457.68060553000,456.69870225000,BOTH,Kunzweg 10,0,38.89555175490,97
1,0,0,0,0,406.04834750000,406.05145769000,BOTH,Seefeldquai Seepromenade 50,1,68.89080874930,98
1,0,0,0,0,432.49139663000,434.01397353000,BOTH,Am Katzenbach,0,151.26878519500,99
1,0,0,0,0,481.49259076000,481.47150897000,BOTH,Winterthurerstrasse 70,0,7.35549124256,100
1,FT,0,0,1,455.17388500000,455.13958525000,FT,Weinbergstrasse Trottoir rechts,0,6.27250741845,101
0,TF,0,1,0,408.31664219000,407.06825300000,TF,Bahnhofplatz / Bahnhofquai 10,0,110.35663015800,102
1,0,0,0,0,409.05261905000,409.09408756000,BOTH,Mythen-Quai 50,1,77.71385181180,103
0,FT,0,0,1,479.83375500000,478.46626471000,FT,Schaffhauserstrasse Trottoir rechts,0,25.65893916050,104
1,0,0,0,0,519.32579717000,517.53080800000,BOTH,Emil-KlÃ¶ti-Strasse (Rad- und Fussweg) 20,1,181.98273299800,105
0,0,0,0,0,434.35752087000,434.42213000000,BOTH,Am Katzenbach,1,4.77116499373,106
1,0,0,0,0,407.49183650000,407.68539071000,BOTH,Seefeldquai Seepromenade 220,1,14.46243639710,107
1,0,0,0,0,443.41275900000,443.10014207000,BOTH,Wehntalerstrasse Trottoir rechts,0,84.42966816540,108
1,0,0,0,0,405.11177456000,404.97585967000,BOTH,HardbrÃ¼cke Trottoir rechts,0,9.69813614623,109
1,FT,0,0,1,452.81131213000,462.02331600000,FT,Birmensdorferstrasse Trottoir rechts,0,172.10815824200,110
1,FT,0,0,1,414.00614400000,413.87514800000,FT,Zurlindenstrasse Ãœberquerung 65,0,4.39991334274,111
1,0,0,0,0,431.33413716000,431.00272258000,BOTH,Saatlenstrasse 150,0,17.20933824150,112
0,FT,0,0,1,412.78590512000,412.79910556000,FT,Zweierstrasse Trottoir links,0,18.16285937550,113
1,0,0,0,0,398.56223187000,397.35850370000,BOTH,Fabrikkanal 10,0,288.88001590700,114
1,0,0,0,0,427.66539650000,427.37341733000,BOTH,Glattuferweg 650,2,23.55277649590,115
0,0,0,0,0,403.72420688000,403.88556636000,BOTH,Viaduktstrasse,1,196.68939068000,116
1,0,0,0,0,494.08219123000,496.67722636000,BOTH,Irchelpark 820,1,78.92705774260,117
1,TF,0,1,0,409.20514800000,409.20831825000,TF,NeumÃ¼hlequai Trottoir links,1,134.27763524200,118
1,TF,0,1,0,408.50374200000,408.52198192000,TF,Alfred-Escher-Strasse Trottoir links,0,114.05263389500,119
0,0,0,0,0,447.63580490000,447.55927240000,FT,Limmattalstrasse Trottoir rechts,0,7.63953801518,120
1,0,0,0,0,419.51568350000,409.81668897000,BOTH,Tunnelstrasse 5,0,122.04732843300,121
1,0,0,0,0,402.63695250000,401.36490340000,BOTH,Fischerweg,2,465.45462642700,122
0,0,0,0,0,471.87761290000,471.96090467000,BOTH,Gemeinschaftszentrum Buchegg 10,0,9.59169430819,123
1,0,0,0,0,428.41240433000,428.31753588000,BOTH,Glattuferweg 610,1,9.62254245452,124
1,0,0,0,0,444.30447629000,444.24672807000,BOTH,Wehntalerstrasse Trottoir rechts,0,6.86135249141,125
1,0,0,0,0,470.35970180000,470.90975800000,BOTH,Gsteigstrasse Trottoir rechts,0,7.79565188948,126
1,0,0,0,0,410.35125125000,408.91129500000,BOTH,Gessnerallee Trottoir links,0,151.74155868400,127
1,0,0,0,0,405.49016011000,404.65787500000,BOTH,HardbrÃ¼cke Trottoir links,1,60.82258788240,128
1,FT,0,0,1,401.18015230000,398.97128500000,FT,EuropabrÃ¼cke Trottoir links,1,99.57669041510,129
1,0,0,0,0,433.84545275000,434.75287075000,BOTH,Am Katzenbach 120,1,309.58261278800,130
0,0,0,0,0,454.60874000000,454.53532455000,BOTH,Kunzweg,1,8.55314542153,131
1,0,0,0,0,409.40474345000,409.56954355000,BOTH,Zeughauspark 50,1,22.49231770720,132
1,0,0,0,0,402.40213158000,402.37971775000,BOTH,Pfingstweidstrasse Trottoir rechts,0,185.23605329700,133
1,0,0,0,0,425.44676288000,429.86596000000,BOTH,Glattuferweg 530,2,365.12013567300,134
1,FT,0,0,1,413.66769573000,413.62574316000,FT,Zweierstrasse Trottoir links,0,6.17294026898,135
1,0,0,0,0,467.03854000000,463.66689800000,BOTH,Frankentalerstrasse / Riedhofstrasse 15,0,28.17932210690,136
1,0,0,0,0,402.39947667000,402.27889018000,BOTH,Hardturmstrasse Trottoir rechts,0,9.07767276132,137
0,0,0,0,0,486.64707625000,499.33093833000,FT,Schauenbergstrasse,1,140.10716041000,138
1,0,0,0,0,427.22426900000,428.32836593000,BOTH,Glattuferweg 635,1,29.84747716710,139
1,0,0,0,0,402.06769964000,402.20561658000,BOTH,FÃ¶rrlibuckstrasse Trottoir links,1,66.40394064930,140
1,0,0,0,0,431.72712900000,431.44551979000,BOTH,Saatlenstrasse 110,0,23.85669494460,141
1,FT,0,0,1,428.95068300000,429.97973554000,FT,Kornhausstrasse Trottoir rechts,0,28.91640721090,142
1,0,0,0,0,408.19368448000,408.22772913000,BOTH,ZÃ¼richhorn 40,1,27.17189088640,143
0,0,0,0,0,426.54978500000,426.45557037000,BOTH,HerzogenmÃ¼hlestrasse 410,1,12.54104844980,144
0,FT,0,0,1,408.98774618000,408.82433550000,FT,Mythenquai Trottoir rechts,0,318.94374312900,145
1,0,0,0,0,397.39792485000,399.19292700000,BOTH,Fischerweg,2,321.47387766300,146
1,0,0,0,0,438.47574875000,440.33558150000,TF,Frankentalerstrasse Trottoir links,1,38.65361809720,147
1,0,0,0,0,407.69836850000,407.43146015000,BOTH,Mythenquai Trottoir links,1,91.99842967470,148
1,0,0,0,0,409.58563000000,407.88967500000,BOTH,NÃ¼schelersteg,1,23.54301983810,149
1,0,0,0,0,400.82273833000,399.85302129000,BOTH,Fischerweg,2,241.88906634800,150
1,0,0,0,0,437.95151400000,437.88652875000,BOTH,Am Katzenbach 180,1,51.39207700980,151
1,0,0,0,0,408.91129500000,408.28409175000,BOTH,Gessnerallee Trottoir links,0,85.52221636430,152
1,0,0,0,0,408.66757375000,409.40474345000,BOTH,Zeughauspark 40,1,127.86113099500,153
1,TF,0,1,0,395.80359300000,395.41553372000,TF,Bernerstrasse Trottoir links,1,131.79258456400,154
1,TF,0,1,0,407.41660386000,407.37371475000,TF,Badenerstrasse Trottoir links,0,17.37562474200,155
0,FT,0,0,1,573.28153300000,574.03349105000,FT,Birmensdorferstrasse 210,0,15.06625453970,156
1,TF,0,1,0,430.23719667000,430.45434285000,TF,Nordstrasse Trottoir links,0,30.12586066470,157
1,0,0,0,0,404.89029583000,404.72602244000,BOTH,HardbrÃ¼cke Trottoir links,1,6.76204369354,158
1,0,0,0,0,414.71382423000,414.34531500000,FT,Manessestrasse Trottoir links,0,27.61041672200,159
1,0,0,0,0,405.71028272000,405.81188456000,BOTH,Platzpromenade 385,2,14.12112332360,160
1,0,0,0,0,424.57734248000,424.69062300000,BOTH,Glattparkstrasse Opfikon Ãœberquerung 40,0,35.77174160250,161
1,0,0,0,0,426.15741600000,427.30424150000,BOTH,Ueberlandstrasse / Wallisellenstrasse 20,1,49.33955662920,162
0,0,0,0,0,472.72677071000,472.87796433000,BOTH,Guggachstrasse Trottoir rechts,1,7.73422555113,163
1,FT,0,0,1,414.06943963000,413.58565987000,FT,Zweierstrasse Trottoir links,0,71.08464405510,164
1,FT,0,0,1,427.62205806000,427.18404582000,FT,Thurgauerstrasse Trottoir rechts,0,177.27036875300,165
1,0,0,0,0,471.98500050000,475.19121033000,BOTH,Hirschwiesenstrasse 70,0,29.25890294950,166
0,FT,0,0,1,414.52576607000,414.54298500000,FT,Zweierstrasse Trottoir links,0,18.30039245770,167
1,TF,0,1,0,408.16390467000,408.25405890000,TF,Badenerstrasse Trottoir rechts,0,62.28697641330,168
1,0,0,0,0,426.37946810000,427.00910388000,BOTH,Glattuferweg 65,0,36.01863973980,169
1,0,0,0,0,410.96141933000,411.04639388000,BOTH,Park Letzigraben / Badenerstrasse / Brahmstrasse 120,0,37.69364680620,170
1,FT,0,0,1,437.80222539000,438.94679620000,FT,Kornhausstrasse Trottoir rechts,0,18.22793249680,171
1,0,0,0,0,426.99738201000,427.43877421000,BOTH,Allmendstrasse Trottoir rechts,1,121.42781892300,172
1,0,0,0,0,492.81290750000,493.27273483000,BOTH,Irchelpark 590,1,54.05533986200,173
0,0,0,0,0,427.70941778000,429.00275875000,TF,Nordstrasse,1,68.91612431630,174
1,FT,0,0,1,439.89104793000,440.15432375000,FT,Kornhausstrasse Trottoir rechts,0,4.12134726086,175
0,0,0,0,0,499.33093833000,501.12685056000,FT,Schauenbergstrasse,1,25.76038058190,176
1,0,0,0,0,400.68314303000,400.58766684000,BOTH,Pfingstweid / Gleisbogen,0,10.12356173260,177
1,FT,0,0,1,406.11670375000,405.65617301000,FT,Badenerstrasse Trottoir rechts,0,51.11626329390,178
1,0,0,0,0,458.75240333000,463.60398050000,BOTH,Frankentalerstrasse Trottoir links,1,45.40659750420,179
1,0,0,0,0,400.60408000000,400.68314303000,BOTH,Pfingstweid,0,378.66448846500,180
1,FT,0,0,1,428.01958050000,428.08067692000,FT,HÃ¶nggerstrasse Trottoir rechts,0,21.91422426450,181
1,0,0,0,0,447.93790250000,447.82756646000,FT,Limmattalstrasse Trottoir rechts,0,51.27271503800,182
1,TF,0,1,0,407.95732233000,407.93313356000,TF,Lagerstrasse Trottoir rechts,0,170.25422695800,183
1,0,0,0,0,402.63695250000,402.16176900000,BOTH,Fischerweg,2,248.60515356700,184
0,0,0,0,0,407.53330500000,407.63268430000,FT,Bellerivestrasse,1,78.85344568280,185
1,FT,0,0,1,412.94958750000,413.24979024000,FT,Selnaustrasse Trottoir rechts,0,31.73692456050,186
0,0,0,0,0,523.91440483000,524.14351725000,BOTH,Alte Regensdorferstrasse,1,17.25735385830,187
1,FT,0,0,1,426.30706240000,425.89336917000,FT,Thurgauerstrasse Trottoir rechts,0,48.34054024880,188
0,0,0,0,0,411.85767467000,411.80640000000,BOTH,Hallwylplatz,1,12.38806582840,189
0,TF,0,1,0,399.24076019000,399.26040039000,TF,EuropabrÃ¼cke Trottoir links,1,14.77392013170,190
0,TF,0,1,0,409.28228250000,408.83214100000,TF,NeumÃ¼hlequai Trottoir links,3,19.40191828890,191
1,FT,0,0,1,398.03603275000,397.85132690000,FT,BÃ¤ndlistrasse Trottoir rechts,0,66.18457649190,192
1,FT,0,0,1,465.22881487000,464.94081587000,FT,Rothstrasse Ãœberquerung 35,0,10.49834426090,193
0,0,0,0,0,395.90336300000,395.84530331000,BOTH,Bernerstrasse,1,80.40809212080,194
0,0,0,0,0,524.27374921000,524.14351725000,BOTH,GrÃ¼nwaldstrasse,0,8.94795185442,195
1,FT,0,0,1,438.94679620000,439.86596986000,FT,Kornhausstrasse Trottoir rechts,0,18.41382069490,196
1,FT,0,0,1,407.47733888000,407.23752900000,FT,Badenerstrasse Trottoir rechts,0,91.09147648350,197
1,0,0,0,0,475.19121033000,474.98815100000,FT,Hirschwiesenstrasse 30,2,39.32511237560,198
0,FT,0,0,1,534.77673833000,535.30399819000,FT,KrÃ¤hbÃ¼hlstrasse Trottoir rechts,0,15.68368822150,199
1,0,0,0,0,408.91129500000,409.33397646000,BOTH,Gessnerallee Ãœberquerung 20,0,15.15271181740,200
1,0,0,0,0,427.51431676000,426.34469673000,BOTH,Glattparkstrasse Opfikon Trottoir rechts,1,61.44284908690,201
1,0,0,0,0,398.06060700000,398.34979625000,BOTH,Grundwasserwerk Hardhof / Fischerweg 25,1,7.90654220502,202
1,0,0,0,0,408.20232827000,407.96015542000,BOTH,Rentenwiese,1,9.75216474823,203
1,0,0,0,0,425.61191132000,429.67403183000,BOTH,Riedgrabenweg / SchÃ¶rliweg 10,0,182.68526139200,204
1,FT,0,0,1,414.54298500000,414.10417553000,FT,Zweierstrasse Trottoir links,0,47.05489503720,205
1,0,0,0,0,407.77773430000,406.79509100000,BOTH,Mythen-Quai 10,1,254.91232636000,206
1,FT,0,0,1,397.89975800000,398.73515843000,FT,EuropabrÃ¼cke Trottoir rechts,1,454.29782478600,207
1,0,0,0,0,408.81498089000,409.17914888000,BOTH,BÃ¼rkliplatz Ãœberquerung 10,0,22.00045007220,208
1,0,0,0,0,420.34835394000,422.78849198000,BOTH,Lessingstrasse,1,54.36644897220,209
1,0,0,0,0,437.45920413000,437.38174053000,BOTH,Neunbrunnenstrasse Trottoir links,0,69.54849574760,210
1,0,0,0,0,402.23779250000,398.06060700000,BOTH,Grundwasserwerk Hardhof / Fischerweg 20,1,105.71362587700,211
1,FT,0,0,1,426.82060869000,426.79564517000,FT,Thurgauerstrasse Trottoir rechts,0,22.03581394120,212
1,0,0,0,0,469.48212800000,471.69344462000,BOTH,Bucheggstrasse 40,1,29.36115079030,213
1,0,0,0,0,426.84111667000,426.04366163000,BOTH,Andreasstrasse,1,352.00660930900,214
1,0,0,0,0,434.01397353000,432.62164213000,BOTH,Am Katzenbach,1,130.87247017300,215
0,FT,0,0,1,432.97755507000,433.06059714000,FT,Freiestrasse Trottoir rechts,0,18.64357282340,216
1,FT,0,0,1,455.24743193000,455.17388500000,FT,Weinbergstrasse Trottoir rechts,0,7.75727301529,217
1,TF,0,1,0,428.56377720000,428.09124700000,TF,Thurgauerstrasse Trottoir links,0,85.54402801610,218
1,0,0,0,0,432.52406700000,429.86340925000,BOTH,Saatlenstrasse 60,0,48.83573764150,219
1,TF,0,1,0,404.84134153000,404.49304609000,TF,Badenerstrasse Trottoir links,0,183.36497003900,220
1,0,0,0,0,431.29908169000,431.44551979000,BOTH,Herbstweg Ãœberquerung 25,0,3.91510364013,221
0,TF,0,1,0,395.64781221000,395.90336300000,TF,HermetschloobrÃ¼cke Trottoir links,0,18.68174101740,222
1,0,0,0,0,410.49510530000,410.91132079000,BOTH,Park Letzigraben / Badenerstrasse / Brahmstrasse 160,0,32.61183580470,223
1,0,0,0,0,421.34842825000,422.02432180000,BOTH,UnterfÃ¼hrung BrunaubrÃ¼cke 20,0,46.50245697230,224
1,0,0,0,0,409.13900900000,406.25224000000,BOTH,QuaibrÃ¼cke Trottoir rechts,1,159.80538804900,225
1,FT,0,0,1,419.95664235000,416.20683362000,FT,UtobrÃ¼cke Trottoir rechts,0,44.79782394400,226
1,0,0,0,0,455.49896038000,455.52419125000,BOTH,Bachmannweg,1,174.25889267600,227
1,0,0,0,0,413.62828350000,413.39027204000,BOTH,Friedhof Sihlfeld 68,1,26.69331764790,228
0,FT,0,0,1,401.23907700000,401.33985111000,FT,FÃ¶rrlibuckstrasse,0,13.95078759590,229
0,0,0,0,0,426.89354191000,427.16478911000,BOTH,Glattuferweg 540,0,12.27684357940,230
1,0,0,0,0,432.78486350000,432.49139663000,BOTH,Am Katzenbach,0,30.73931909160,231
1,0,0,0,0,418.62108750000,420.02930600000,BOTH,BÃ¼ttenweg,1,353.84821215800,232
1,0,0,0,0,406.07980525000,406.04834750000,BOTH,Seefeldquai Seepromenade 30,1,68.25583103830,233
1,0,0,0,0,406.17379000000,405.39756073000,BOTH,Langstrasse Trottoir rechts,1,137.61682587500,234
1,0,0,0,0,408.22772913000,408.26759409000,BOTH,ZÃ¼richhorn 50,1,64.15527925340,235
1,0,0,0,0,435.14729600000,435.39027900000,BOTH,Am Katzenbach 140,1,20.77853402730,236
1,FT,0,0,1,455.39204333000,455.24743193000,FT,Weinbergstrasse Trottoir rechts,0,4.48971244884,237
1,0,0,0,0,456.37500955000,453.23298000000,BOTH,Kunzweg,1,44.22418112530,238
1,FT,0,0,1,401.74544889000,401.46628036000,FT,FÃ¶rrlibuckstrasse Trottoir rechts,0,50.53052172810,239
0,TF,0,1,0,408.75462877000,408.57246125000,TF,QuaibrÃ¼cke,0,12.30831055870,240
1,0,0,0,0,407.18342800000,412.93816113000,BOTH,Schanzengrabenpromenade,1,104.52910032000,241
1,0,0,0,0,493.27273483000,493.15724443000,BOTH,Irchelpark 800,1,17.32779146020,242
1,0,0,0,0,459.44823440000,458.22860672000,BOTH,Furttalstrasse Trottoir rechts,0,86.25000793960,243
1,0,0,0,0,420.34835394000,421.34842825000,BOTH,UnterfÃ¼hrung BrunaubrÃ¼cke 10,0,117.29779527400,244
1,0,0,0,0,419.04830982000,419.48415100000,FT,Rousseaustrasse Trottoir rechts,1,8.68992444736,245
1,0,0,0,0,408.14151636000,407.70926561000,BOTH,ZÃ¼richhorn 250,1,27.53375115910,246
1,TF,0,1,0,413.37950763000,413.37704119000,TF,Zentralstrasse Ãœberquerung 13,0,5.00253870322,247
0,0,0,0,0,473.85155000000,475.71534167000,TF,RÃ¶telstrasse,1,46.48126117010,248
1,0,0,0,0,401.53022550000,400.51861584000,BOTH,Tram Hardhof Trottoir links,1,155.84699978600,249
1,0,0,0,0,432.66598463000,432.78486350000,BOTH,Am Katzenbach,0,17.50614880020,250
1,0,0,0,0,410.70962767000,409.95509845000,BOTH,Wasserwerkstrasse Trottoir links,0,20.65797664020,251
1,0,0,0,0,488.57342575000,489.92092000000,BOTH,Irchelpark 560,2,14.19766398500,252
